path,size,conc,mode,ops_s,mibs,rounds,cv_pct
gds,4M,1,no-disk,110.96,0,3,2.96
rdma,4M,1,no-disk,184.85,1,3,3.34
rdma,4M,2,no-disk,353.46,1,3,2.83
gds,4M,4,no-disk,214.85,1,8,3.53
rdma,4M,4,no-disk,666.21,3,3,4.27
gds,4M,8,no-disk,663.94,3,8,1.77
rdma,4M,8,no-disk,1426.59,6,3,2.33
gds,4M,16,no-disk,937.67,4,5,4.64
rdma,4M,16,no-disk,1215.12,5,5,3.41
rdma,4M,24,no-disk,1304.88,5,10,1.94
gds,4M,32,no-disk,1530.30,6,3,4.67
rdma,4M,32,no-disk,1592.07,6,6,4.79
gds,8M,1,no-disk,84.40,1,3,4.66
rdma,8M,1,no-disk,110.90,1,3,2.99
rdma,8M,2,no-disk,198.90,2,3,3.57
gds,8M,4,no-disk,157.10,1,6,3.74
rdma,8M,4,no-disk,384.52,3,3,4.28
gds,8M,8,no-disk,462.90,4,4,3.51
rdma,8M,8,no-disk,420.03,3,3,2.52
gds,8M,16,no-disk,707.63,6,6,2.52
rdma,8M,16,no-disk,551.58,4,8,4.58
gds,8M,24,no-disk,776.95,6,5,2.84
rdma,8M,24,no-disk,791.72,6,3,1.44
gds,8M,32,no-disk,988.23,8,11,2.99
rdma,8M,32,no-disk,769.44,6,3,1.69
gds,4M,1,w-disk,94.74,0,3,3.68
rdma,4M,1,w-disk,148.30,1,3,3.32
gds,4M,2,w-disk,242.76,1,3,4.25
rdma,4M,2,w-disk,274.79,1,3,1.82
gds,4M,4,w-disk,318.77,1,12,3.91
rdma,4M,4,w-disk,551.36,2,3,1.17
rdma,4M,8,w-disk,900.56,4,6,4.30
gds,4M,16,w-disk,1033.60,4,15,3.30
rdma,4M,16,w-disk,1052.47,4,10,4.26
gds,4M,24,w-disk,1245.05,5,13,2.83
rdma,4M,24,w-disk,1341.35,5,9,3.69
rdma,4M,32,w-disk,1512.62,6,7,3.50
gds,8M,1,w-disk,60.24,0,3,4.85
rdma,8M,1,w-disk,79.85,1,3,2.21
gds,8M,2,w-disk,173.92,1,4,2.60
rdma,8M,2,w-disk,168.67,1,3,1.83
gds,8M,4,w-disk,175.66,1,3,4.06
rdma,8M,4,w-disk,247.95,2,9,1.00
gds,8M,8,w-disk,230.70,2,10,3.83
rdma,8M,8,w-disk,474.37,4,3,3.10
gds,8M,16,w-disk,330.06,3,4,4.31
rdma,8M,16,w-disk,489.74,4,4,2.18
gds,8M,24,w-disk,412.69,3,10,3.42
rdma,8M,24,w-disk,739.92,6,3,1.96
gds,8M,32,w-disk,435.53,3,5,4.66
rdma,8M,32,w-disk,901.24,7,3,4.43
